LELL  Sabadell 
OEPI  PUMP STATION 9 
NC94  [H] Bladen County Hospital 
3MD4  Fairview 
SPOV  Shiringayoc O Hda Mejia 
KPVU  Provo Muni 
XK000S  Orlando North Airpark 
7L1  [H] Carson Sheriff Station 
EKBU  Butendiek 
ZBSJ  Shijiazhuang/Zhengding 
KEMP  Emporia Muni 
RJCJ  JASDF Airbase Chitose 
8LA1  [H] Chevron Usa Inc. 
EKAN  South Arne Nord 
9A9  Shiflet Field 
SIBD  BENEDITO MUTRAN 
8NY5  Sunhillow 
89WA  Williams Airpatch 
01GA  [H] Medical Center 
SN23  Overmiller 
EGTB  Wycombe Air Park 
LE83  Mojados 
ORSH  AL SAHRA AAF 
FY4V  Tses 
2R3  [S] Island Lake 
KBHM  Birmingham International 
VTUG  Phu Khieo 
SNDB  Ruropolis 
MO23  PHILLIPS FLD 
2RR  River Ranch Resort 
KLEE  Leesburg Intl 
KBKV  Hernando Co 
SNGY  [H] Fazenda Santapazienza 
XEG003A  Walton Wood 
SWIP  Ipameri 
OI34  Fricke 
KUKL  Coffey Co 
XEG000Z  Mullaglass 
W75  Hummel Field 
YBMA  Mount Isa 
44GA  S&S Flying Service 
5NE3  Diamond Bar Jones 
SWJK  Fazenda Sao Paulo 
XEG002E  Culbokie 
YLAM  Lambina 
SWHT  Humaita 
OI20  Bahregan 
SWKO  Coari 
KWRL  Worland Muni 
5ND7  Kinnischtzke 
2S7  Chiloquin State 
VTW9  Ta Yang 
NZCS  Cromwell Racecourse 
CJZ3  Melfort (Miller Field) 
SBPJ  Palmas Airport 
SNEF  [H] Praia de Santa Rita 
71FL  [H] Miami Federal Reserve Bank 
19TA  Lagrone Ranch 
FY53  Weltevrede Rest Camp 
95W  Mann 
7M5  Ozark-Franklin County 
FYCB  Conception Bay 
ORQW  QAYYARAH WEST 
XRP001D  Pamalican 
78NY  Flying F 
OPIS  New Islamabad Intl 
5U1  DUTTON 
LE97  ULM Castello de Rugat 
34FL  Ellis Agricultural Field 
MTPP  Port Au Prince Toussaint Intl 
XK002L  [H] Pier 7 
NC80  [H] Morehead City State Port Terminal 
HI29  Upper Paauau 
KGUC  Gunnison Crested Butte Rgnl 
67XS  B T Averheart 
SIBS  [H] Terminal Petrobras - Sao Sebastiao 
EGTU  Dunkeswell 
SIAH  [H] Vitoria Apart Hospital 
XRP0006  Mabog 
XRP003L  Mamacao 
EGWN  RAF Halton 
5W9  Star Hill 
EPWT  Watorowo 
KPVB  Platteville Muni 
EPTO  Torun 
ZWKC  Kuqa Qiuci 
HI01  Princeville 
Y91  Home Acres Sky Ranch 
XEG0037  [H] Lomas Helicopters 
22XS  LONGHORN AUX LANDING STRIP 
OI08  Davies Air Fld 
SWIG  Fazenda Sao Jose 
XEG003V  [H] Aberdeen Royal Infirmary 
W49  [S] Rosario 
YBNM  Benmara 
SBRB  Presidente Medici 
94D  [S] Wells 
RCKH  Kaohsiung Intl 
2PN9  [H] Sun Company-Radnor 
SNGN  Garanhuns 
TN16  Huntingdon 
KLFI  Langley AFB 
LL01  [H] Community Memorial Hospital 
79L  [H] Twi Ii 
CO32  [H] Capri 
FY4A  Steinfeld (Stidilla) 
SNDU  Ponta do Sol 
VTT5  Thung Song 
EK57  Bjoernoe 
YWTL  Waterloo 
TN02  [H] Tva Watts Bar Nuclear Plant 
SNFJ  Pousada Thaimacu 
15AZ  Quail Mesa 
CO26  [H] Cirino 
XEP81  Marynin 
SNEQ  [H] Ouro Negro 
1NY9  Caughdenoy 
SWKX  Corixa 
XEG001I  Brant Farm 
XEG0023  Tower Farm 
8PS2  Still Meadow Farm 
YBOI  Boigu Island 
NJ02  Alloway Airfield 
XEG002R  Pendle View Farm 
2IA4  [H] Cmc At West Ninth 
GMAZ  Zagora 
YGRP  GRANITE PEAK 
43CO  Kostroski 
NM64  Gray Ranch 
SICW  Fazenda Santa Fe 
KGTG  Grantsburg Muni 
XRP001S  San Isidro (Dolores Timber) 
78MU  Stony Branch 
XRP002H  Lebak 
XRP0012  Candaraman 
6LA4  Dyer 
I39  Central Kentucky Rgnl 
KIWD  Gogebic Iron Co 
SING  Fazenda Sao Joao 
5X6  Mac-Ivor & Friends Airstrip 
IS09  [H] Glenoaks Medical Center 
NSFA  Faleolo International 
MMPE  PUERTO PENASCO 
TLPL  St. Lucia/Hewanorra Intl 
KGZL  STIGLER RGNL 
SGCO  TENIENTE COL CARMELO PERALTA 
3XS2  [H] Citizens Medical Center 
00E  [H] Apache Junction 
RJOI  MCAS-Iwakuni 
ID38  [H] Sutherland 
NC57  [H] Craven Regional Medical Center 
VA40  [H] Fort Story Spier 
UTDT  Bokhtar 
KPYM  Plymouth Muni 
YBAB  BARALABA 
SWFH  Fazenda Manchete 
YNTN  Normanton 
0TX5  Shiloh 
ND31  Larimore Municipal 
SWES  [H] ESAT Aerotaxi 
ENSO  Stord Sorstokken 
NZMO  Manapouri-Te Anau 
0F4  Loup City Muni 
MA38  [H] Fitchburg Paper Company 
SNKZ  Fazenda Remanso do Pito 
2PA6  The Old Commonwealth Aerodrome 
CJW4  Pelican Narrows 
75X  [H] Parking Garage Helistop 
KBDN  Bend Muni 
LB26  MALEVO 
LEBA  Cordoba 
KNQB  [X] Silverhill NOLF 
8IS0  [H] St Josephs Hospital 
SNHA  Itabuna 
ENRK  Aastorp Rakkestad 
KLHB  Hearne Muni 
77G  Marlette 
0G0  North Buffalo Suburban 
EBGG  Geraardsbergen Overboelare 
LKNM  Nove Mesto 
ENQP  [H] Petrojarl Knarr Platform 
CA01  Adin 
91KY  [H] Big G 
LB32  KONUSH 
NZOP  Opotiki 
82IL  Janssen 
SNIE  Caetite 
SWGL  Goalcool 
YNUJ  Nudjaburra 
ND25  Keogh 
SWDW  Divisao 
33OR  Crow-Mag 
50MN  Zimmerman 
GMMN  Casablanca Mohammed V Intl 
YB1  Bush Strip 
3MI3  L D Ranch 
YKKH  Kokatha 
NC43  Bear Pen 
VA54  [H] Crippens 
OIKY  Sirjan 
SIOC  Santo Expedito 
0FD2  [H] Pro Player Stadium 
FYLZ  LUDERITZ 
EGYE  RAF Barkston Heath 
5Y2  Houghton Lake State 
PR14  [H] Orama-Iayuya 
7A6  STEVENSON 
FYOA  ONDANGWA 
SILX  Fazenda Jandaia 
76OR  [H] Westwood Corporation 
XLD0007  Vinkovci / Sopot 
EITM  Trim 
01A  Purkeypile 
ID04  J-Lazy-M Ranch 
KRBE  Rock County 
27II  [H] Fort Benjamin Harrison Hospital 
5GA2  Lyons Landing 
YEGS  ELGIN DOWNS 
2NJ5  Hartung 
9VA9  [H] Southampton Memorial Hospital 
WIPR  Rengat Japura 
KITH  Ithaca Tompkins Rgnl 
FYNR  Neuras 
SIMK  FRANCA 
9N6  Slack 
MMPR  Lic Gustavo Diaz Ordaz Intl 
IS35  [H] Capsonic Group 
00R  Livingston Muni 
SINP  Fazenda Santa Maria 
FYMI  Mile 72 
KIWS  West Houston 
85NY  High Acres 
03I  Clarks Dream Strip 
96LL  Wichman 
SLSI  Cap. Av. Juan Cochamanid 
62II  [H] Wabash County Hospital Emergency 
OP22  RAJANPUR 
SNHV  [H] Vaska 
MA04  Haverhill-Riverside 
3SC4  CROOKED FENCE FARM 
0E8  Crownpoint 
98G  Sebewaing 
VTY2  Hinzon 
0MU0  Eagle Field 
CA29  [H] Fontana Police 
KNRN  Norton Muni 
SNKM  [H] Margarida 
LEAM  Almeria 
YUBT  UMBERATANA HS 
SWED  Fazenda Eldorado 
X6MU  Glenforsa 
YBBN  Brisbane Intl 
EYSB  BARYSIAI 
VABV  BHAVNAGAR 
YBAU  Badu Is 
UT22  [H] Western Surgery Center 
UT1H  NEBIT DAG 
4OR2  [H] South Hill 
Y46  Bedford Municipal 
UT36  [H] Wecco 
74K  Meadows 
NTAT  Mataura Tubuai 
6IS5  [H] Holy Family Hospital 
OP36  ROBRAY 
ENQG  [H] Gullfaks B Platform 
SNIR  Fazenda Mata Escura 
KBFF  Western Nebraska Regional William B. Heilig Field 
VTX6  Chonburi 
SNJI  FAZENDA FORTALEZA DE SANTA TEREZINHA 
04TS  [H] Hummingbird 
SILO  [H] CFAPP 
FYOV  Otavi 
IS21  [H] Community Memorial Hospital 
DFCC  Ouahigouya 
SIOT  Fazenda Santa Verginia 
74WA  Mattawa Air Strip 
XLD000A  Sinj 
9TX9  Canon Ranch 
KRCA  ELLSWORTH AFB 
GMMY  Kenitra 
VA68  Lakeview Aerodrome 
41TS  Flying T Ranch 
AGGP  Marau Sound 
2NK1  Gaskins Hilltop 
SWQV  Fazenda Maristela 
WI21  Crane Field 
U77  Spanish Fork Springville 
SWRM  Santo Antonio do Descoberto 
YBUG  BULGA DOWNS STN 
OK36  W C Ranch 
MZ10  San Pedro John Greif II 
HL59  AL KHADIM 
LPMA  Madeira 
KBPK  Baxter County 
NTTB  Motu Mute Bora Bora 
SBIH  ITAITUBA 
2J5  Millen 
60FD  [H] Winter Haven Hospital 
LEVD  Villanubla 
MM21  LA ENCARNACION 
0CO1  Daves 
YWMY  WILLIAMBURY 
BIAE  Arngerdareyri 
1NC7  Donalds Air Park Inc. 
59Y  Walkinshaw 
0R1  Atmore Muni 
SIYY  ILHA DO CARACARA 
7T7  SKYWEST INC 
AU94  Kulin 
8NA3  Haugen Airstrip 
SIZB  [H] Hospital Sao Jose 
HUMA  Mbarara 
94CA  [H] Kaiser Hospital 
KEVM  Eveleth Virginia Muni 
E20  [S] Lake Berryessa 
5L3  [H] Blythe Service Center 
EGLD  Denham 
XEK001G  Koege Hospital 
NA96  Forward - Private 
KPMH  Greater Portsmouth Regl 
WN47  Bear Valley Skyranch 
KPNS  Pensacola Rgnl 
NA82  L. Thompson Airstrip 
AL69  Vaughn - Private 
YIDR  Idracowra Station 
WN53  FRONTIER AIRPARK 
OPRN  Benazir Bhutto Intl 
7U3  [H] Community Medical Center 
9MA9  [H] Boardwalk 
WY62  [H] West Park Hospital 
XEK000C  Stenum 
5M7  [X] Mountain Lakes Field 
E34  Smiley Johnson Muni/Bass Field 
CJB5  Moosomin 
2K1  Pond Creek Municipal 
0S5  Nez Perce Muni 
SK53  Yaguarito 
SWPR  Pires Do Rio 
YBWX  Barrow Island 
FL60  Reynolds Airpark 
U63  BRUCE MEADOWS 
WI35  [S] Ceder Lake 
SWSI  Sinop 
YBTC  BEATRICE DOWNS 
2I9  Bald Eagle Field 
0MA5  [H] Brockton USAR Center 
SBJD  Jundiai 
59N  [H] Carson 
EG99  Top Farm 
BIAR  Akureyri 
LGML  Milos 
NTTU  Tupai 
LEVS  Cuatro Vientos 
BIBI  Baeir 
SWRZ  FAZENDA ARROSSENSAL 
PN72  Port Sember 
NH14  [X] White Mountain Gateway 
AK27  [S] Seldovia 
DTKA  TABARKA 7 NOVEMBRE 
FB90  Xade 
SWQA  [H] Bonini 
HL65  NAFURAH 1 
38IN  Fuller Field 
EPLI  Linowiec 
AL41  Freedom Field 
MS92  Purvis Field 
MMGL  Don Miguel Hidalgo Intl 
7CL4  [H] Mcmwtc 
SIZU  Agrochapada 
EGLS  Old Sarum 
WW92  Sebah (MAF) 
9Z3  [S] Kodiak Lily Lake 
SIYN  Eletro Primavera LTDA 
YPKH  PEAK HILL (NSW) 
XEK0011  Sulkendrup 
SKBQ  Ernesto Cortissoz Intl 
EICD  [X] Clifden 
6NA6  Marsh Brothers Airstrip 
XEK000T  Grimlund Hoven 
MMES  Ensenada 
XEK0005  Orupgaard 
EGNL  Barrow Walney Island 
89MO  Bishops Landing 
E08  Canam 
ZLDL  Delingha 
SKCU  Caucasia 
7TN1  Elk River Airfield 
3AK6  B & B Boys Ranch 
EPMM  Minsk Mazowiecki 
MS86  Oglesby Farms Inc. 
PN66  Dunlea Airpark 
AK33  Herendeen Bay 
FB84  Tswane Pan 
YBWO  BOWEN DOWNS 
SWPE  Fazenda Lagoa da Mata 
HL71  BIR UMRAN 
0TN8  [H] Erlanger Medical Center 
ENFY  Fyresdal 
LETL  Teruel Plata 
EBSU  Saint Hubert Mil 
58J  Huggins Memorial 
08VA  Springwood Airstrip 
19OK  Gerhart 
YYAB  YACKABINDIE 
8KS2  King Ranch 
XS38  [H] 3321 Westside 
SBEK  Jacareacanga - Rio Tapajos 
LGAX  ALEXANDRIA 
YYLR  YEELIRRIE 
2F6  Skiatook Muni 
YWBA  WOORABINDA 
KNID  China Lake Naws 
SNPG  Porto Grande 
LEZG  Zaragoza 
CT26  [H] Corporate Ridge 
YBYD  Bonney Downs Stn 
22LA  Wd Flyers 
LPAB  Hospital de Abrantes 
YNLH  NEW LANDSDOWN HS 
31MO  Hannah 
XNZNB  Neils Beach 
EYKS  S. Darius and S. Girenas 
GA71  [H] South Fulton Medical Center 
YNOS  [H] NORTH STAR 
HE24  Siwa Oasis North 
FLMF  MFUWE 
ZUGU  GuangYuan PanLong 
WN84  [H] Lower Monumental Dam 
YKRJ  KARUNJIE 
KRZT  Ross Co 
3OH5  Spires 
NA55  Hager Strip 
FNUB  LUBANGO 
KIOB  Mount Sterling 
SIVA  [H] Cereal Citrus 
GVBA  Rabil 
67LA  [H] Transcontinental Gas Pipeline Corp 
7MN3  Caldbeck Field 
SECM  HACIENDA CLEMENTINA 
9CA6  North Valley 
ZBDT  Datong Yungang 
RJTT  Tokyo Haneda Intl 
1II2  Adams 
SIUZ  Boa Esperanca 
MMHC  Tehuacan 
7X4  Williams Sky Manor 
74MO  [H] Ozarkcom Army 
NV64  Swanson Ranch 3 
SIWE  NELSON PIZZANI 
KINF  Inverness 
9T8  [H] Shell Pelican Island 
7MO7  Kimray 
MD48  Albrecht Airstrip 
TE41  [H] Montgomery Co Law Enforcement Cntr 
5A4  Okolona Muni-Stovall Field 
EGAC  Belfast City 
LG56  OLIMBOI 
KGCN  Grand Canyon National Park 
22X  Mc Ginley 
CD65  [H] Rico 
7Y0  Timbers Sky Camp 
ORER  Erbil intl 
AU43  Balladonia Station 
87OH  Mundron Field 
WW79  Riam Sejawak (MAF) 
HE30  KOM AWSHIM 
MS79  [H] Parkview Regional Medical Center 
EPBB  Babieta 
WN90  Taylorport 
WIIG  Pulau Panjang 
3OI1  Pheasant Run 
SPYL  CAPITAN MONTES 
IA48  Kern Field 
4OI8  Brocker Field 
CT32  Gallup Farm 
SUDU  Santa Bernardina Intl 
0TA7  Alta Vista Ranch 
PN99  Lackawannock 
VCCG  AMPARAI 
GA65  Mercer Airfield 
NZTM  Taumarunui 
AR25  Vilonia 
80IN  Gustins - Private 
SNRX  Riachao 
ROKR  Kerama 
SBDO  Dourados 
NZWV  Waihi Beach 
2G2  Jefferson Co Airpark 
57E  Monte Prieto Ranch 
SNQC  [H] IGESP 
0AZ2  WESTERN SKY 
OR08  Barton Lake Ranch 
FB53  Nitani 
4OK0  Zevely Climbing ZZ Ranch 
IA60  [H] Guttenberg Muni Hosp 
YBYS  Beverley Springs Station 
20WI  Harju 
U88  Garden Valley 
MT37  Sanders 
YWBV  West Beverley 
ENHE  [H] Heidrun Platform 
L61  Shoshone 
LKTC  Tocna 
04NJ  Emmanuel 
MDCZ  Constanza 
SNPP  Morro de Sao Paulo 
LILG  Vergiate 
VTBN  Pran Buri West 
SE60  LA PUNTILLA 
XPK0002  Jeh 
SNSK  Santa Rita Do Sapucai 
55M  STAR CITY MUNI 
71PA  [H] YBP 
EKVG  Vagar 
KILN  Wilmington Air Park 
SIUM  Fazenda Planeste 
23K  Deweze 
EGCK  Caernarfon 
MD60  [H] Mitchell 
SIVV  Fazenda Borereo 
KGAF  Hutson Fld 
WW51  Panggema/Hassan (GKI) 
EINC  Newcastle 
NV58  [H] St Marys Regional Medical Center 
K07  Rolla Downtown 
RJTC  Tachikawa AB 
65WI  Dulmes Field 
9MO2  [H] Fitzgibbon Hospital 
41NJ  [H] Meadowlands Hospital Medical Center 
MS51  Belle-Terre 
HE18  HABATA 
AL82  [H] Providence Hospital 
WUV  Wuvulu Is 
KPBG  Plattsburg Intl 
NFFN  Nadi Intl 
AL96  Hardy Field 
MS45  Dale Landing Strip 
9W4  Rainelle 
SITI  Fazenda Baluarte 
KGCY  Greeneville Greene Co Muni 
5B8  Duflo 
EGBO  Wolverhampton 
MD74  Good Neighbor Farm 
CD59  [H] Placerville 
7CA3  [H] Mercy Medical Center 
WPDB  SUAI 
69CA  [H] Victor Valley Community Hospital 
76TX  Spanish Oaks 
SIWR  Fazenda Amazonas 
21T  Houston Airpark 
WW45  Omban (UFM) 
SKLM  Jorge Isaac - La Mina 
CCF4  Porters Lake 
L75  Southland Fld 
XS10  Aransas Natl Wildlife Refuge 
AR19  Wesson-Davis Field 
SNQT  Fazenda Estrela do Sul 
57R  Old Reb 
LIMC  Milano Malpensa 
NZTZ  Te Anau 
6KS7  Shute 
OR34  Whippet Field 
54I  [H] Burr Oak Lodge 
SNRO  [H] Fazenda Salto de Bota 
KNKL  [X] Holley NOLF 
FB47  Masetlheng 
IA74  [H] Trinity Regional Hospital 
CSC3  Drummondville 
VMMC  Macau Intl 
YLVD  Lake Everard 
GA59  Antique Acres 
33TX  [H] TGP 1 
MT23  [H] St Patrick Hospital 
49MO  [H] Hermann Ii 
KTTN  Trenton Mercer 
T03  Tuba City 
WAKQ  Senggo 
IN33  Weed Fld 
XEN0008  Maarud 
LA93  [H] Shell Pipeline Nairn 
SAVH  LAS HERAS 
UERR  Mirny 
LFID  Condom Valence sur Baise 
XEN000Y  Eidsberg Mysen 
CL78  [H] Camp 14 
CKD5  Kipling 
XLF00AG  Faucon 
3M1  [H] Hermitage Lions 
SDHJ  [H] Hospital da Policia Militar 
SJFY  [H] Hospital Estadual de Pronto Socorro 
WX02  Aboyi (UFM) 
4K7  [H] Jasper County Safety Council 
D54  West Fargo Muni 
KHDE  Brewster Field 
XLF0076  Coust Colombiers 
XLF004L  St Philibert de Bouaine 
UI24  [H] Burovaya 17908 
SJEB  [H] Millenium Office Park 
SDKQ  Fazenda Sao Joao 
YSWD  [H] Seaworld 
6S3  COLUMBUS 
II55  Hodges 
CYYW  Armstrong 
SSKK  Capao da Canoa 
YHBR  HUMBERT RIVER 
ESPE  Vidsel 
2CO4  [H] Presbyterian St Lukes Med Ctr 
SSHP  [H] Hospital Municipal Ronaldo Gazolla 
3NC2  [H] Garner Road 
PAHC  HOLY CROSS 
CYXS  Prince George Airport 
II41  Hagerty 
SSJO  Fazenda Angico 
S71  EDGAR G OBIE 
6TS3  Dale Acres 
KSPW  Spencer Muni 
SSIT  Irati 
PAIG  IGIUGIG 
VRMG  Gan Island 
WX16  Armopa/Bonggo (DGAC) 
DGSN  Sunyani 
UI30  [H] Burovaya R-4903 
KFKR  Frankfort Muni 
XLF005H  Plein Ciel Paramoteur 
XLF0062  Air et Espace 
SC99  White Plains 
HTKA  Kigoma 
SDJU  [H] Hospital Sao Luiz 
KDSV  Dansville Muni 
SJDF  [H] Hospital Anchieta 
XLF006S  Lémeré 
6R7  Old Harbor 
LA87  Covington-Vincent 
1T1  2 G Ranch 
XLF00CX  Banelle 
KAMT  ALEXANDER SALAMON 
KCVK  Sharp County Regional 
SCOH  Villa O'Higgins 
C26  Ottiger 
XLF00C9  Notre Dame de La Salette 
SVTM  Tumeremo 
IN27  Skyridge 
WAJU  Ubrub (DGAC) 
YTRN  TARRAGONA 
XEN000N  Sylling 
09PA  Eagle Field 
LFJH  Palaminy 
XLF00AP  Le Bez 
CL44  [H] Orange County Steel Salvage 
XLF00BK  Izenave 
RI11  Riconn 
LFIS  St Inglevert 
XLF00A1  Banon 
6FL8  [H] Braman 
5CL1  Hart Ranch 
ETUO  Guetersloh AB (clsd) 
5MA9  [X] Allens Pond 
YCRT  CARRIETON 
2MA0  [H] Digital Headmaster 
II69  Harrod Rose 
S59  LIBBY 
SSHG  HYRAN GARCETE 
8TS6  Moore 
ESSI  Visingso 
MUMZ  Sierra Maestra 
FD82  Porter 
2CL8  [H] Inland Valley Reg Med Ctr 
VGTJ  TEJGAON 
39NJ  [H] Troop B 
FASZ  Skukuza 
PAKO  Nikolski AS 
4KA  Tununak 
EFHL  Hailuoto 
AZ04  Hillair Dirt Strip 
SDKF  JUAZEIRO 
SJEU  Fazenda Sao Cristovao 
38L  [H] Loma Linda University Medical Center 
UI18  [H] Burovaya 360/0 
EFKW  Ummeljoki 
SJFN  Fazenda Brasil Novo 
YSTH  Saint Helens 
EDPH  Schwabach-Buechenbach 
11CA  Turner Field 
SJDQ  [H] Trade Tower 
SDJB  [H] Quinta da Baroneza II 
AZ10  [H] JSJ 
EDRW  Dierdorf - Wienau 
XLF006D  Oucques 
YQNS  Queenstown 
SDIY  [H] Fab. de Motores Rolls Royce 
SJGJ  Namocoli 
EDQL  Lichtenfels 
YFNI  [H] FLINDERS ISLAND (QLD) 
SSIC  APLIC Aviacao Agricola LTDA 
FD96  Hilliards - Private 
CYXD  Edmonton City Centre (Blatchford Fld) 
SSJX  Sao Bento 
54CA  [H] Paradise Valley Hospital 
4NA3  Peterson Airstrip 
WAJB  Bokondini (APCM) 
MU94  [H] Galmey 
KTVF  Thief River Falls RGNL 
YCSP  Curtin Springs 
XESS14  Jättne 
MGRF  Monterrico 
LFKL  Lyon Brindas 
5TN4  [H] Smith 
KMXO  Monticello Regl 
CL50  [H] Westwood Gateway 
LDSH  Hvar 
LFHW  Belleville Villie Morgon 
RI05  [H] Port Edgewood Marine 
3O9  Grand Lake Regl 
SCLD  Llanada Grande 
OS68  SAYQAL 
LHHO  Hajdúszoboszló 
3A2  New Tazewell 
1OH0  [H] Clinton Memorial Hospital 
LA50  [H] Mobil 
1Y6  Spotts Field 
SCAT  Desierto de Atacama 
KCXW  Cantrell Field 
LFEG  Argenton sur Creuse 
M29  Hassell Field 
LHKT  Kardakút 
18FD  Sky Ranch 
YAFD  [H] ALFRED HOSPITAL 
VNPK  Pokhara 
3II7  [H] Army Aviation Support Facility 
PHLU  Kalaupapa 
PA21  West Middlesex 
YMPS  MORTON PLAINS 
CYVO  Val D'Or 
SSDS  Fazenda Bandeirantes 
WA28  [H] Tom Matson 
WA1B  ARU 
II96  Buchta 
CYUT  REPULSE BAY 
YJUN  Jundee 
TS10  [H] Sheraton Spindletop Hotel 
VECA  CHABUA 
SSGH  Fazenda Capao Verde 
SDGR  Guararapes 
SJIA  [H] Ipiau 
RKPK  Gimhae Intl 
AT23  Sitry Skiway 
6OH9  Kemps Field of Dreams 
WV19  Moore Field 
34X  [H] Vicksburg Medical Center 
SJJZ  [H] Ilha de Terrapleno 
KJSY  Joseph State 
FZIC  BANGOKA INTL 
SDDI  Fazenda Tamara 
3WA8  [H] Evergreen General Hospital 
4G4  Youngstown Elser Metro 
KHHF  Canadian Municipal 
SJHE  Fazenda Palmeira 
KJQF  Concord Rgnl 
SDFV  [H] Federacao Paulista de Futebol 
2TA2  [H] The Medical Center of Mesquite 
SDEM  Estancia Machado 
D83  BOONVILLE 
KHIB  Range Regl 
XLF009K  Pampelonne 
8OK0  Lamle 
CYWK  Wabush 
FD69  Crews Hay 
SSEW  Sitio Limoeiro 
YHLN  HELEN SPRINGS 
WA0F  Goyage 
PAED  ELMENDORF AFB 
TKE  [S] Tenakee 
II82  Meadors Field 
UUYI  Inta 
53IS  Nelson 
XEDF2  Vaihingen/Enz 
SSFL  Joao Pereira dos Santos Filho 
TS04  RIO VISTA RANCH 
2AZ7  Mc Gills Ultralight Field 
VE44  Hashimara 
YMRL  MARLGAWO 
KTZR  BOLTON FLD 
WMPA  Pulau Pangkor STOLport 
RP13  Nonoc 
PFCB  Chenega Bay 
PA35  Area 52 
VNRT  Rumjatar 
SCCK  Contao 
LFGX  Champagnole Crotenay 
UIIB  Belaya 
LA44  [H] Moosa Memorial Hospital 
1OI4  [H] Som Jackson 
KCYS  CHEYENNE RGNL JERRY OLSON FLD 
72MI  NORTHWOODS 
DE18  [H] Strawbridge Christiana Mall 
16IS  Kellums 
81NJ  [H] Halls No 1 
LFDC  Montendre Marcillac 
XCPD4  Brussels Armstrong Field 
47OH  CHAPIN 
MU43  [H] Pegasus Pad 
SD14  Valburg Ranch 
42I  Parr 
LFEP  Pouilly Maconge 
1MS8  COLUMBUS AFB AUX AFLD 
SCAC  Pupelde 
LJSG  Slovenj Gradec 
XCYCKOH  Oak Hammock - Private home airstrip 
LFFK  Fontenay le Comte 
M15  James Tucker 
6OK5  Cary Ranch 
WV25  [H] Mount Storm 
SJJM  Michels Aviacao Agricola LTDA 
RKSG  Pyongtaek-Desiderio AAF 
02OH  Zimmerman 
37T  Calico Rock Izard Co 
4D8  Fuller 
ME14  Bald Mountain 
SJIV  Sao Joao 
AQS  [S] Saqani 
SDGE  [H] Casas Bahia 
XFY0002  [H] Moltkeblick 
MBAC  Amergris Cay Intl 
XLF0089  Courgenay 
8OI8  [H] Meridia Huron Hospital 
FD41  [H] Grand Cypress Resort 
PAGL  GOLOVIN 
WA14  Connell City 
40IN  Cherry Hill 
YFCN  FORT CONSTANTINE 
SSDD  [H] N. S. de Fatima 
42PN  [H] Allegheny General Hospital Emergency 
35VA  [H] Community Memorial 
MUCF  JAIME GONZALEZ 
37NE  Watermeier 
WA0Q  Paro 
4KS2  Ingels Aerodrome 
TS38  [H] Helitrans 
WV31  [H] Pratt Mining 
UNOS  Omsk Severny 
SJKI  Curiau 
SDEZ  [H] Unibanco Eusebio Matoso 
EFEK  Kilpisjärvi Heliport 
SDFA  FAZENDA BONANCA 
SJHR  [H] Flamboyant 
ULWW  Vologda 
SC66  [H] E M M D Plant 
35K  Henderson Farm 
CL93  [H] Sce Shaver Summit 
61OK  The Highlands 
70VA  Burnt Chimney 
07PN  [H] AT&T 
LFDT  Tarbes Laloubere 
FVQ  Donlin Creek Mine 
LA78  [H] Cagc Dock 
M01  General Dewitt Spain 
LFGO  Pont-sur-Yonne 
DE24  [H] Elliott 
YADL  Adele Island 
VNRC  Ramechhap 
5CA6  [H] San Joaquin Helicopters 
PA09  [H] Hendrick Landing Area 
ESKX  [X] Björkvik airbase 
YJAK  [X] JACKSON 
UWWW  Kurumoch 
KSJN  St Johns Industrial Air Park 
ESHC  Soedersjukhuset Stockholm 
UUOS  Stary Oskol 
YDLC  Dulacca 
9WI2  Flying Dollar Ranch 
PAPE  PERRYVILLE 
SSPV  Marechal Thaumaturgo 
4S1  GOLD BEACH MUNI 
SDPL  [H] Sofitel Sao Paulo 
18Y  Milaca Muni 
XC001Q  Kawagama Lake 
6MD8  Davis Airstrip 
7NE6  Merchant Homestead 
SDSW  Ilha das Flores 
YSOB  Southbrook 
F56  Arledge Fld 
13AK  Satterburgs 
EDKB  Bonn-Hangelar 
XC0010  Alexandria 
6K5  SISTERS EAGLE AIR 
XC002J  Rainy River seaplane Base 
A30  SCOTT VALLEY 
1M3  Ardmore 
KAWM  West Memphis Muni 
TA86  Denniss Flying Farm 
MGHH  Iztapa 
LFQB  Troyes Barberey 
9KY9  PAINTSVILLE PRESTONSBURG COMBS FLD 
KCLR  CLIFF HATFIELD MEM 
83W  Shoestring Aviation Airfield 
83CO  [H] Snake River Health Services Inc 
MN57  Maurice Sugden Flying Svc Private Stri 
3U7  BENCHMARK 
KCOI  MERRITT ISLAND 
1MD1  Big Oak Farm 
HHAS  Asmara Intl 
MRPV  Tobias Bolanos Intl 
YMDV  Mount Davies 
WAPL  Dumatubun 
OH40  Lakeside Resort Colony 
YARA  Ararat 
EVVA  Ventspils Intl 
KTLH  Tallahassee Rgnl 
NE86  Traudt 
YMGM  MUNGABROOM 
WASW  Wasior (DGAC) 
MY66  North Star Ranch 
IL25  Palmer 
ETOA  [H] Schweinfurt 
YMER  Merimbula 
OH54  [H] Medical Center 
NE92  Thomsen 
MY72  Isle - Private 
KVVS  Connellsville 
1L7  Escalante Muni 
A24  California Pines 
TA92  [H] Rowan 
LFPF  Beynes Thiverval 
3TR  JERRY TYLER MEM 
